	unit
Energy Carrier Net LOSS Petroleum Coke	TJ
Energy Carrier Net LOSS Plastic waste for treatment: incineration	TJ
Energy Carrier Net LOSS Products of forestry, logging and related services (02)	TJ
Energy Carrier Net LOSS Pulp	TJ
Energy Carrier Net LOSS Refinery Feedstocks	TJ
Energy Carrier Net LOSS Refinery Gas	TJ
Energy Carrier Net LOSS Secondary paper for treatment, Re-processing of secondary paper into new pulp	TJ
Energy Carrier Net LOSS Steam and hot water supply services	TJ
Energy Carrier Net LOSS Sub-Bituminous Coal	TJ
Energy Carrier Net LOSS Sugar	TJ
Energy Carrier Net LOSS Textiles waste for treatment: incineration	TJ
Energy Carrier Net LOSS White Spirit & SBP	TJ
Energy Carrier Net LOSS Wood material for treatment, Re-processing of secondary wood material into new wood material	TJ
Energy Carrier Net LOSS Wood waste for treatment: incineration	TJ
