A,DEG2,PPS_AE,SE	: 	11547 	14980 	18340 	18497 	19751 	: 
A,DEG2,PPS_AE,SI	: 	: 	: 	13037 	15280 	14439 	14794 
A,DEG2,PPS_AE,SK	: 	: 	: 	6173 	8260 	10448 	8398 
A,DEG2,PPS_AE,UK	8922 	12785 	18042 	21532 	14025 	16528 	: 
A,DEG2,PPS_AE,XK	: 	: 	: 	: 	: 	6468 	: 
A,DEG2,PPS_HH,AT	: 	: 	27227 	31428 	35761 	35583 	36228 
A,DEG2,PPS_HH,BE	16986 	23223 	28672 	31500 	32969 	38111 	32064 
A,DEG2,PPS_HH,BG	: 	: 	: 	7264 	7950 	10703 	12207 
A,DEG2,PPS_HH,CY	: 	: 	: 	33489 	50886 	34779 	33409 e
A,DEG2,PPS_HH,CZ	: 	: 	: 	11779 	12891 	14500 	16080 
A,DEG2,PPS_HH,DE	17112 	21373 	: 	29918 	29947 	32519 	34169 
A,DEG2,PPS_HH,DK	: 	20857 	24814 	24480 	31102 	30292 	33760 
A,DEG2,PPS_HH,EA	: 	: 	: 	25247 u	28783 s	: 	: 
A,DEG2,PPS_HH,EA12	: 	: 	: 	25261 u	29202 s	: 	: 
A,DEG2,PPS_HH,EA13	: 	: 	: 	25247 u	29180 s	: 	: 
A,DEG2,PPS_HH,EA17	: 	: 	: 	: 	28932 s	: 	: 
A,DEG2,PPS_HH,EA18	: 	: 	: 	: 	28783 s	: 	: 
A,DEG2,PPS_HH,EE	: 	: 	: 	16183 u	12473 	16773 	20737 
A,DEG2,PPS_HH,EEA28	: 	: 	: 	24399 u	26148 s	: 	: 
A,DEG2,PPS_HH,EEA30_2007	: 	: 	: 	: 	25869 s	: 	: 
A,DEG2,PPS_HH,EFTA	: 	: 	: 	29303 u	35168 u	: 	: 
A,DEG2,PPS_HH,EL	15865 	: 	: 	28408 	33617 	26066 	23757 
A,DEG2,PPS_HH,ES	: 	19294 	19622 	25853 	30798 	30308 	27828 
A,DEG2,PPS_HH,EU15	: 	: 	: 	26777 u	28101 s	: 	: 
A,DEG2,PPS_HH,EU25	: 	: 	: 	24347 u	26055 s	: 	: 
A,DEG2,PPS_HH,EU27_2007	: 	: 	: 	24050 u	25775 s	: 	: 
A,DEG2,PPS_HH,EU27_2020	: 	: 	: 	: 	: 	27299 	26795 s
A,DEG2,PPS_HH,FI	: 	16399 	19608 	25045 	29843 	30237 	: 
A,DEG2,PPS_HH,FR	15549 	: 	25244 	25596 	25605 	28658 	27976 e
A,DEG2,PPS_HH,HR	: 	: 	: 	17453 	18304 	20752 	20929 
A,DEG2,PPS_HH,HU	: 	: 	: 	10448 	14052 	15746 	21709 
A,DEG2,PPS_HH,IE	: 	: 	27138 	: 	30596 	31623 	: 
A,DEG2,PPS_HH,IT	16947 	23630 	26513 	29001 	28498 	30127 	26763 
