		Russia	Russia	Russia	Russia	China	China	China	China	Europe	Europe	Europe	Europe	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Africa	Africa	Africa	Africa
new		Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other
China	Cattle	0	0	0	0	0	0	25848.0540768	1959.54115304	0	0	0	0	0	3.33455180397e-06	0	2.40538814747e-05	0	0	0	0	0	0	0	0
China	Animal products	1.57423918431	3.36878542865e-05	0	0.01408072027	23909.8821518	8791.32093099	73586.049016	25480.5535641	219.310401781	0.684690264929	0.140968305483	18.0142751824	1404.35507549	0.0872623148658	53.3488083756	14.6824349127	77.7050335296	3.69771398176e-05	0.161276253276	4.76950247523	31.9555354828	0.000199932555867	4.28153442837e-10	0.000125484211668
China	Fish	382.792685041	5.74517984536e-05	0	4.08644315699	325192.122134	0	0	15442.2441737	675.863122995	6.30854492963	0.000171418341918	8.86037758703	7119.42730029	0.0594251009285	0	52.2321773031	2782.07888915	0	0.000100948573187	32.3996914533	671.49829865	0.0324203719649	0	0.000486372692222
China	Drinks and tabacco	10.9692944548	0	0	0.00810402928798	15974.4894208	0	0	1444.23102607	61.6345539318	0.0083726880131	0	1.25703029569	2742.16801086	0.0713507659232	0	2.28582574715	221.023715501	0	0	0.295460074115	36.2922236721	0.000162638423333	0	0.00590125905054
China	Food n.e.c.	427.756016783	0	0	10.0482438843	0	0	0	8.59167094239	2208.12274167	1.03529397825	0	21.1305257135	14624.0601439	68.7023182684	0	147.672839725	3754.5587962	0	0	7.65436243554	1468.4630537	5.35221993012	0	0.000921233598631
China	Natural gas	0	0	0	0	3022.53236416	0	0	982.944512002	1.42786311391	0.000929906349426	0.00326192973713	0.0967985487921	900.072478416	0.0433858459888	698.21531231	0.156382934493	1.5651322591	0	0.268708043192	0.0230377485145	0.427425077467	0.10229193926	0	0.000377420183349
China	Oil	39.3234287254	0.237077839723	0	35.2873554668	60575.9532501	0	0	895.272480932	360.732172177	0.0164002632135	0	29.550666019	9799.39327129	1.04052822897	51.565168902	32.9658530881	1434.17748306	0	5.50701890816e-05	143.587300945	431.812959218	0.0267319212534	0	8.02216595014
China	Coal	0	0	0	0	60.5223953303	0	0	38.5880186592	0.540834318801	7.44262261778e-05	0	24.2944282689	117.641788963	0.0279638717891	0	13.1274528936	1.05652729285e-10	0	0	74.2682974167	36.4140360393	0.00504965578295	0	3.74221029379e-06
China	Mining & quarrying	0.057447190537	0	0	0.326675006852	18.2327656897	0	0	1593.57086039	5.66063700312	0.00110122260842	4.10622525158	10.351989576	39.8760906208	1.67205343249	0.101437013884	20.6761316137	2.29847855781	0.000206054297816	1.4861572761	3.16678303598	2.48778193995	0.000138253733669	2.16418143314e-08	0.776091380826
China	Textiles, leather & wearing apparel	5240.27890781	3.96535824636	0	55.6852420216	222414.841309	0	0	19639.835357	37684.1435464	44.6961405943	157.899365137	711.478112931	78634.8645308	116.698734674	1310.76890766	819.751335431	63196.6424367	0	252.622003105	233.596344219	12109.803028	0.673589062466	251.364110411	17.9765247984
China	Forestry etc	2.89087705553	0	0	0.11211912504	3734.15440057	65.3462584894	0	598.54144333	8.69921506011	0.0525199380988	0.517412307983	3.42854470061	11.5272573899	0.00191599829219	0.103752646605	12.5291421133	0.102277153406	0.0201505607756	0.0106959329407	0.532514422661	0.579211716624	2.24072555401e-05	0	0.00291807845364
China	Wood, paper & publishing	144.141202644	0	23.0231517933	23.5182427171	13303.6261345	0	697.090864507	7510.44036887	1170.15356502	7.94360804381	188.233097573	85.546877586	7707.16240966	43.6241733057	1465.6157824	106.450184121	2808.2832579	0.28696189579	85.1641102729	43.2567141535	596.091025383	0.0495596227785	69.3013970399	2.5469942478
China	Chemicals & non-metallic mineral products	1851.62270831	91.5937293928	0	135.651078899	24050.7047497	0	0	17918.4293656	7120.37498316	1992.28440628	198.566564849	196.473571388	45435.1966959	558.145750623	950.595228426	1198.23406542	29353.4995423	852.885316956	226.678781904	343.587788601	6246.47167578	30.4013148597	63.8060907495	47.1737411151
